Device Name;Device Custom Name;Device Type;Component Name;Component Custom Name;Group;First Activity;Last Activity;IP;MAC;Risk Score;External Communication;Tags;Activities;Vuln;Var;VLAN ID;Vendor;OS;Model;Project;Hardware Version;Firmware Version;Serial Number;Sensors;License Required
;;;10.1.0.15;;Segmented IDMZ;2026-02-09 22:03:33.647 +0000 UTC;2026-02-09 22:29:24.288 +0000 UTC;10.1.0.15;00:0e:8c:56:e4:56;;No;Engineering Station;10;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.1.13;;Cell1 CNC Machining;2026-02-09 22:03:29.48 +0000 UTC;2026-02-09 22:29:23.965 +0000 UTC;10.1.1.13;00:0e:8c:dd:10:1d;;No;Engineering Station/Net Management Server;69;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.3.20;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:32.116 +0000 UTC;2026-02-09 22:29:23.933 +0000 UTC;10.1.3.20;00:00:54:3f:4c:87;;No;Controller;3;0;0;;Schneider Electric;;STBNIP2311;;;V6.20;;CVTrafficGen01;No
;;;2711P-T15C22D9P PANELVIEW PLUS 7;;Cell2 Robotic Welding;2026-02-09 22:03:32.085 +0000 UTC;2026-02-09 22:29:23.502 +0000 UTC;10.1.2.13;00:00:bc:b2:88:23;;No;Operator Panel/Rockwell Automation;3;0;0;;Rockwell Automation;;;;;14.0;bf47bf51;CVTrafficGen01;No
;;;10.1.0.11;;Segmented IDMZ;2026-02-09 22:03:33.039 +0000 UTC;2026-02-09 22:29:22.488 +0000 UTC;10.1.0.11;00:50:c2:8b:56:4b;;No;Controller;10;0;0;;GE Digital;;Proficy Historian;;;8.0;;CVTrafficGen01;No
;;;10.1.1.10;;Cell1 CNC Machining;2026-02-09 22:03:30.527 +0000 UTC;2026-02-09 22:29:19.655 +0000 UTC;10.1.1.10;00:0e:8c:f0:99:36;;No;OPC server/Controller/Siemens/SNMP Agent;15;0;0;;Siemens AG;;6ES7 517-3AP00-0AB0;;;V3.0.3;;CVTrafficGen01;No
;;;2711P-T10C22D9P PANELVIEW PLUS 7;;Cell2 Robotic Welding;2026-02-09 22:03:31.331 +0000 UTC;2026-02-09 22:29:19.331 +0000 UTC;10.1.2.14;5c:88:16:70:4f:a5;;No;Operator Panel/Rockwell Automation;3;0;0;;Rockwell Automation;;;;;13.0;b53f12b4;CVTrafficGen01;No
;;;KEPServerEX EtherNet/IP Driver;;Segmented IDMZ;2026-02-09 22:03:30.252 +0000 UTC;2026-02-09 22:29:18.397 +0000 UTC;10.1.0.12;02:00:00:db:29:91;;No;Locally Administered MAC/Controller/Rockwell Automation/SNMP Agent;10;0;0;;Kepware Technologies;;KEPServerEX;;;6.14;c7169638;CVTrafficGen01;No
;;;10.1.1.20;;Cell1 CNC Machining;2026-02-09 22:03:33.418 +0000 UTC;2026-02-09 22:29:17.256 +0000 UTC;10.1.1.20;00:0e:8c:5a:f5:45;;No;Controller;4;0;0;;Siemens AG;;6SL3210-1KE21-7UF1;;;V4.8;;CVTrafficGen01;No
;;;10.1.3.12;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:48.113 +0000 UTC;2026-02-09 22:29:09.945 +0000 UTC;10.1.3.12;00:00:54:a5:5d:cd;;No;OPC server/Controller;3;2;0;;Schneider Electric;;TM5CSLC100FS;;;V1.4.0;;CVTrafficGen01;No
;;;IDMZ_EWON_Gateway;;Segmented IDMZ;2026-02-09 22:03:31.042 +0000 UTC;2026-02-09 22:29:08.896 +0000 UTC;10.1.0.13;00:06:71:84:ba:1b;;Yes;Engineering Station/Ewon/HTTPS Client/Remote Access Gateway/Controller/SNMP Agent;11;0;0;;Ewon Inc.;;Flexy205;;;14.5;;CVTrafficGen01;No
;;;10.1.1.12;;Cell1 CNC Machining;2026-02-09 22:03:32.32 +0000 UTC;2026-02-09 22:29:05.212 +0000 UTC;10.1.1.12;00:1b:1b:15:19:ad;;No;OPC server;11;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.1.15;;Cell1 CNC Machining;2026-02-09 22:03:32.145 +0000 UTC;2026-02-09 22:28:50.58 +0000 UTC;10.1.1.15;00:1b:1b:d9:4c:d5;;No;;5;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;CNC_Uplink_Switch;;Cell1 CNC Machining;2026-02-09 22:03:31.556 +0000 UTC;2026-02-09 22:28:48.999 +0000 UTC;10.1.1.25;00:1a:a1:df:a5:c8;;No;Cisco/SNMP Agent;4;0;0;;Cisco Systems, Inc;;;;;;;CVTrafficGen01;No
;;;ASSEMBLY-UPLINK-SWITCH-E1C4;;Cell 4 - Final Assembly;2026-02-09 22:03:31.848 +0000 UTC;2026-02-09 22:28:40.077 +0000 UTC;10.1.4.21;3c:08:f6:87:90:b8;;No;Cisco/SNMP Agent;4;0;0;;Cisco Systems, Inc;;;;;;;CVTrafficGen01;No
;;;ASSEMBLY-UPLINK-SWITCH-E1C4;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:31.79 +0000 UTC;2026-02-09 22:28:26.538 +0000 UTC;10.1.3.23;00:17:0e:8c:8d:c7;;No;Cisco/SNMP Agent;4;0;0;;Cisco Systems, Inc;;;;;;;CVTrafficGen01;No
;;;ECoat_Cell_Switch;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:31.729 +0000 UTC;2026-02-09 22:28:00.062 +0000 UTC;10.1.3.22;00:60:5c:2f:4b:bc;;No;SNMP Agent;4;0;0;;Schneider;;;;;;;CVTrafficGen01;No
;;;CNC-CELL-SWITCH-17A5;;Cell1 CNC Machining;2026-02-09 22:03:30.297 +0000 UTC;2026-02-09 22:27:56.763 +0000 UTC;10.1.1.24;00:0e:8c:46:0b:85;;No;SNMP Agent;5;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.1.19;;Cell1 CNC Machining;2026-02-09 22:03:33.089 +0000 UTC;2026-02-09 22:27:08.212 +0000 UTC;10.1.1.19;00:0e:8c:23:22:26;;No;Controller;5;0;0;;Siemens AG;;6SL3210-1KE21-7UF1;;;V4.8;;CVTrafficGen01;No
;;;10.1.1.16;;Cell1 CNC Machining;2026-02-09 22:03:32.482 +0000 UTC;2026-02-09 22:27:00.007 +0000 UTC;10.1.1.16;00:1b:1b:b5:ce:ef;;No;;5;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;IDMZ_Core_Switch;;Segmented IDMZ;2026-02-09 22:03:31.201 +0000 UTC;2026-02-09 22:18:52.042 +0000 UTC;10.1.0.16;00:26:98:97:cb:f1;;No;Cisco/SNMP Agent;3;0;0;;Cisco Systems, Inc;Cisco IOS;Cisco IOS Software [Cupertino], Catalyst IE9300 Software (IE9300-UNIVERSALK9-M);;;17.15.01;;CVTrafficGen01;No
;;;IDMZ_North_Firewall_Switch;;Segmented IDMZ;2026-02-09 22:03:31.36 +0000 UTC;2026-02-09 22:18:11.525 +0000 UTC;10.1.0.17;f8:c2:88:d4:a6:c0;;No;Cisco/SNMP Agent;3;0;0;;Cisco Systems, Inc;Cisco IOS;Cisco IOS Software [Cupertino], Catalyst IE3500 Software (IE3500-UNIVERSALK9-M);;;17.15.01;;CVTrafficGen01;No
;;;IDMZ_South_Firewall_Switch;;Segmented IDMZ;2026-02-09 22:03:31.383 +0000 UTC;2026-02-09 22:18:11.151 +0000 UTC;10.1.0.18;f8:c2:88:8a:ef:8c;;No;Cisco/SNMP Agent;3;0;0;;Cisco Systems, Inc;Cisco IOS;Cisco IOS Software [Cupertino], Catalyst IE3500 Software (IE3500-UNIVERSALK9-M);;;17.15.01;;CVTrafficGen01;No
;;;1783-BMS10CGL STRATIX 5700;;Cell2 Robotic Welding;2026-02-09 22:03:31.646 +0000 UTC;2026-02-09 22:15:43.646 +0000 UTC;10.1.2.24;00:1d:9c:fe:9a:b3;;No;Cisco/Rockwell Automation/SNMP Agent;4;0;0;;Rockwell;;;;;15.2;f27c7843;CVTrafficGen01;No
;;;10.1.1.18;;Cell1 CNC Machining;2026-02-09 22:03:32.69 +0000 UTC;2026-02-09 22:06:11.483 +0000 UTC;10.1.1.18;00:1c:06:0d:4b:2d;;No;;5;0;0;;Siemens Numerical Control Ltd., Nanjing;;;;;;;CVTrafficGen01;No
;;;10.1.1.22;;Cell1 CNC Machining;2026-02-09 22:03:33.57 +0000 UTC;2026-02-09 22:05:50.579 +0000 UTC;10.1.1.22;00:0e:8c:3b:f3:ce;;No;;7;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;10.1.1.17;;Cell1 CNC Machining;2026-02-09 22:03:32.496 +0000 UTC;2026-02-09 22:05:06.74 +0000 UTC;10.1.1.17;00:1b:1b:30:c6:23;;No;;5;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.1.21;;Cell1 CNC Machining;2026-02-09 22:03:33.525 +0000 UTC;2026-02-09 22:05:00.15 +0000 UTC;10.1.1.21;00:1b:1b:98:95:64;;No;;7;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;10.1.1.23;;Cell1 CNC Machining;2026-02-09 22:03:33.736 +0000 UTC;2026-02-09 22:04:51.243 +0000 UTC;10.1.1.23;00:1b:1b:49:b7:7d;;No;;7;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
